rank,pool,mode,horizon,strategy,components,threshold,signals,win_rate,average_return,median_return,profit_factor,worst_return,best_return,robust_mean,score,target_89_gap,meets_89
1,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + RSI + Higher Low,3,2,1808,0.6277654867256637,0.04241412289313609,0.020057044840662175,2.0094588193669387,-0.9030172413793103,6.198935462408517,0.023754943996330786,100.0,0.0,True
2,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,4,2,1808,0.6277654867256637,0.04241412289313609,0.020057044840662175,2.0094588193669387,-0.9030172413793103,6.198935462408517,0.023754943996330786,100.0,0.0,True
3,WINNERS_20D,AND,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support,2,2,1549,0.6197546804389928,0.044483744687459637,0.018099547511312153,2.0610560455684985,-0.9030172413793103,6.198935462408517,0.023982801505427566,98.57466063348411,0.0,True
4,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support,3,2,1549,0.6197546804389928,0.044483744687459637,0.018099547511312153,2.0610560455684985,-0.9030172413793103,6.198935462408517,0.023982801505427566,98.57466063348411,0.0,True
5,CROSS_10D_20D,AND,20,10D:Reversal: 50D Support + Higher Low + 20D:Reversal: Bottom Reclaim + Support,2,2,1549,0.6197546804389928,0.044483744687459637,0.018099547511312153,2.0610560455684985,-0.9030172413793103,6.198935462408517,0.023982801505427566,98.57466063348411,0.0,True
6,CROSS_10D_20D,AND,20,10D:Reversal: Bottom Reclaim + Support + 20D:Reversal: 50D Support + Higher Low,2,2,1549,0.6197546804389928,0.044483744687459637,0.018099547511312153,2.0610560455684985,-0.9030172413793103,6.198935462408517,0.023982801505427566,98.57466063348411,0.0,True
7,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + RSI + Higher Low,4,2,2548,0.619701726844584,0.035968067302970544,0.013921036446066126,1.9634159982984578,-0.9030172413793103,6.198935462408517,0.020520150896283944,95.4407773345496,0.0,True
8,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,4,2,2179,0.6232216613125287,0.03649024927682308,0.013126491646777927,1.9513426145278943,-0.9030172413793103,6.198935462408517,0.01967916981596358,94.60424609705613,0.0,True
9,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bull Engulf + Support + Reversal: 50D Support + RSI + Higher Low,4,2,1379,0.6316171138506164,0.03500670082162476,0.013126491646777927,1.9861207482808665,-0.9030172413793103,6.198935462408517,0.019300918813537,94.3205578452362,0.0,True
10,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: Bull Engulf + Support,4,2,2418,0.6166253101736973,0.036069597155005476,0.012407024284518009,1.9915518646008716,-0.9030172413793103,6.198935462408517,0.02010667886483338,94.3052682133885,0.0,True
11,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support,3,2,2302,0.6138140747176368,0.03656111619772169,0.01229922992299226,1.992358170951476,-0.9030172413793103,6.198935462408517,0.02004855671754293,94.22442244224419,0.0,True
12,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support,4,2,2302,0.6138140747176368,0.03656111619772169,0.01229922992299226,1.992358170951476,-0.9030172413793103,6.198935462408517,0.02004855671754293,94.22442244224419,0.0,True
13,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Reversal: 50D Support + RSI + Higher Low,3,2,1196,0.6270903010033445,0.03573664613845076,0.012767902860068903,1.9922156031554834,-0.9030172413793103,6.198935462408517,0.01949093010123851,94.19412472098057,0.0,True
14,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + Higher Low + Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,4,2,1196,0.6270903010033445,0.03573664613845076,0.012767902860068903,1.9922156031554834,-0.9030172413793103,6.198935462408517,0.01949093010123851,94.19412472098057,0.0,True
15,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Bull Engulf + Reversal: 50D Support + RSI + Higher Low,2,1,1532,0.6201044386422977,0.03362773701256838,0.012866527694918806,1.8778034725212662,-0.9030172413793103,6.198935462408517,0.01814880536104429,93.26149979197233,0.0,True
16,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + Bull Engulf + 20D:Reversal: 50D Support + RSI + Higher Low,2,1,1532,0.6201044386422977,0.03362773701256838,0.012866527694918806,1.8778034725212662,-0.9030172413793103,6.198935462408517,0.01814880536104429,93.26149979197233,0.0,True
17,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + RSI + Higher Low + 20D:Reversal: 50D Support + Bull Engulf,2,1,1532,0.6201044386422977,0.03362773701256838,0.012866527694918806,1.8778034725212662,-0.9030172413793103,6.198935462408517,0.01814880536104429,93.26149979197233,0.0,True
18,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: Bull Engulf + Support,3,2,1922,0.6165452653485952,0.037339903901055335,0.01151632538592684,1.9891688960435252,-0.9030172413793103,6.198935462408517,0.018979954121340823,92.87220963045073,0.0,True
19,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Secondary: Breakdown + 50D Support + Reversal: Bull Engulf + Support,4,2,1922,0.6165452653485952,0.037339903901055335,0.01151632538592684,1.9891688960435252,-0.9030172413793103,6.198935462408517,0.018979954121340823,92.87220963045073,0.0,True
20,WINNERS_20D,CONSENSUS,20,Secondary: Breakdown + 50D Support + Reversal: 50D Support + RSI + Higher Low,2,1,2317,0.5757444971946483,0.03326630067939285,0.016801221907047914,1.627503827548669,-0.9834088927637314,6.198935462408517,0.016983498510003053,91.29595651189626,0.0,True
21,CROSS_10D_20D,OR,20,10D:Secondary: Breakdown + 50D Support + 20D:Reversal: 50D Support + RSI + Higher Low,2,1,2317,0.5757444971946483,0.03326630067939285,0.016801221907047914,1.627503827548669,-0.9834088927637314,6.198935462408517,0.016983498510003053,91.29595651189626,0.0,True
22,CROSS_10D_20D,OR,20,10D:Reversal: 50D Support + RSI + Higher Low + 20D:Secondary: Breakdown + 50D Support,2,1,2317,0.5757444971946483,0.03326630067939285,0.016801221907047914,1.627503827548669,-0.9834088927637314,6.198935462408517,0.016983498510003053,91.29595651189626,0.0,True
23,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Hammer + Reversal: 50D Support + RSI + Higher Low,4,2,2546,0.605655930871956,0.03593043767431342,0.009831327584573057,1.917777700838928,-0.9030172413793103,7.915789473684212,0.016041235717088796,89.4044224762464,0.0,True
24,WINNERS_20D,CONSENSUS,20,Reversal: 50D Support + Higher Low + Reversal: Bottom Reclaim + Support + Reversal: 50D Support + Volume + Reversal: 50D Support + RSI + Higher Low,4,2,3226,0.6007439553626782,0.02934635429231447,0.009968944099378874,1.7168572689631674,-0.9846058534501175,6.198935462408517,0.01471012036236183,88.50929834630551,0.4907016536944866,False
