rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Trend: EMA50 + Momentum,1,137953,0.47398751748784,0.4745384297550615,0.0012996800212647,0.0,-0.0411389971724604,-0.0156139105748758,0.0150375939849625,0.0411312665199923,6.721943048576215,-0.9627733829688228,0.0591685505155415,-0.0017613647726962,0.2040135827761454,1.0954374106632472,25.906667794571614
Trend: EMA50 + Momentum,3,134992,0.4924514045276757,0.4856361858480502,0.0018718940872119,0.0,-0.076923076923077,-0.0290909090909091,0.0272995258451873,0.0746100740361859,18.533898305084747,-0.9847328244274808,0.114895005539035,-0.0037541029945176,0.2079605986255795,1.0748730782581897,28.572695653109744
Trend: EMA50 + Momentum,5,131957,0.4956463090249096,0.4885303545852058,0.0021430162009025,0.0,-0.102808749826476,-0.0392228931478078,0.0355125100887812,0.0969967213114754,18.20833333333333,-0.9888848920863308,0.1423100092974557,-0.005126624097099,0.2064771972692052,1.065302495707961,28.913768084977495
Trend: EMA50 + Momentum,10,125104,0.5087926844865073,0.4822707507353881,0.0052815572422878,0.0009708737864078,-0.1478334030100335,-0.0564818448391032,0.0514908730854588,0.1423973687925831,19.580357142857142,-0.9944529262086514,0.1941345404478215,-0.0049588577559863,0.2007652130980355,1.1161333841313643,33.092322216786314
Trend: EMA50 + Momentum,20,113437,0.5199714378906354,0.4749949311071343,0.0119034939544053,0.0027777777777777,-0.2102508948587423,-0.0833333333333332,0.0798319327731091,0.2142857142857144,17.188235294117643,-0.99603711790393,0.2812042051586633,-0.0025715256135376,0.1912057687369255,1.1869679924483951,38.17904394185157
Trend: EMA50 + Momentum + Volume,1,20733,0.4723387835817296,0.472772874161964,0.0021487224613046,0.0,-0.058174017909835,-0.0214285714285713,0.0193514644351462,0.0590079865489702,6.721943048576215,-0.9627733829688228,0.0934989917646449,-0.0025008556631619,0.2165516380112352,1.1118720381140306,25.96057135923554
Trend: EMA50 + Momentum + Volume,3,20291,0.491252279335666,0.4865704006702478,0.0020983434407738,0.0,-0.0999999999999998,-0.0374732334047108,0.032607989110523,0.0942928039702233,3.666666666666667,-0.9847328244274808,0.1336201805876805,-0.0055212346099307,0.2180108036092431,1.0643663670124943,28.16270722952757
Trend: EMA50 + Momentum + Volume,5,19814,0.4844049661855253,0.4980316947612799,3.07483637388155e-05,0.0,-0.133528628270839,-0.0526315789473683,0.0402675309194963,0.1168590033404433,4.841666666666667,-0.9888848920863308,0.1720740626574644,-0.0101605889140866,0.2357634393414057,1.00071899839107,25.748540998742293
Trend: EMA50 + Momentum + Volume,10,18551,0.4893536736564066,0.5001347636246024,-0.0019583968485403,-0.0001221498371335,-0.185,-0.0765860215053763,0.0518786367168269,0.153658536585366,9.279296875,-0.9944529262086514,0.2349161722592305,-0.0151440551218996,0.2298566206520996,0.9666178958852674,25.89130352710645
Trend: EMA50 + Momentum + Volume,20,17150,0.4843731778425656,0.5101457725947521,-0.0012403105724215,-0.0023420359806932,-0.2545170079816682,-0.1104548647801554,0.0714285714285714,0.2214294358768477,17.188235294117643,-0.99603711790393,0.3392629373120567,-0.0197238486837694,0.2319881892249406,0.9845091029236356,25.419045032233644
Trend: EMA50 + ADX,1,75955,0.4599565532223026,0.4747021262589691,0.0010373910344087,0.0,-0.0472895531634787,-0.0172413793103448,0.0158003025942954,0.0459576302787359,6.721943048576215,-0.9627733829688228,0.0661296296758084,-0.0023619060456982,0.2052106933053872,1.0673083871305975,23.0055932796624
Trend: EMA50 + ADX,3,74379,0.4785087188588177,0.4930558356525363,0.0004494629379724,0.0,-0.0889646579716333,-0.0335047300915049,0.0272995007021377,0.0811613024656503,18.533898305084747,-0.9847328244274808,0.135355904417674,-0.0060676506238782,0.2211833572330381,1.015638248992184,25.06421812297996
Trend: EMA50 + ADX,5,72874,0.4860306830968521,0.493001619233197,0.000188795267891,0.0,-0.1190081660763479,-0.045,0.0352278804144149,0.1045840785192888,18.20833333333333,-0.9888848920863308,0.1650390773342524,-0.0082363458066997,0.2212310218948744,1.0050315501348783,26.10574485217291
