family,mode,horizon,strategy,components,signals,win_rate,average_return,median_return,profit_factor,worst_return,best_return,robust_mean,max_consecutive_losses,score,max_gap_sessions,baseline_best_score,improvement_vs_best_baseline,beats_best_baseline,baseline_A_score,baseline_B_score,baseline_C_score
COMBINATION,OR,20,A_50D_SUPPORT_BULL_ENGULF + B_50D_SUPPORT_HIGHER_LOW + C_BREAKDOWN_50D_SUPPORT,3,12091,0.6079728723844182,0.02160264542471685,0.006825938566553003,1.74836839526839,-0.9834088927637314,6.198935462408517,0.012766443133708824,38,82.88589705862357,,71.89,10.99589705862357,True,71.89,68.02,64.48
COMBINATION,OR,10,A_50D_SUPPORT_BULL_ENGULF + B_50D_SUPPORT_HIGHER_LOW + C_BREAKDOWN_50D_SUPPORT,3,13613,0.5786380665540293,0.014224120613816175,0.00340886304391419,1.6704422189415826,-0.98789313904068,9.459081836327346,0.006390418404136925,24,65.32292850809263,,71.89,-6.56707149190737,False,71.89,68.02,64.48
COMBINATION,AND,20,A_50D_SUPPORT_BULL_ENGULF + B_50D_SUPPORT_HIGHER_LOW,2,680,0.6102941176470589,0.020332478777952405,0.005365059964651975,1.9620646370973522,-0.631116504854369,0.9121212121212121,0.015104794741039373,8,57.20744100587928,,71.89,-14.682558994120718,False,71.89,68.02,64.48
COMBINATION,CONSENSUS_2_OF_3,20,A_50D_SUPPORT_BULL_ENGULF + B_50D_SUPPORT_HIGHER_LOW + C_BREAKDOWN_50D_SUPPORT,3,680,0.6102941176470589,0.020332478777952405,0.005365059964651975,1.9620646370973522,-0.631116504854369,0.9121212121212121,0.015104794741039373,8,57.20744100587928,,71.89,-14.682558994120718,False,71.89,68.02,64.48
COMBINATION,AND,10,A_50D_SUPPORT_BULL_ENGULF + B_50D_SUPPORT_HIGHER_LOW,2,759,0.6060606060606061,0.012016427562907944,0.0036720190565124877,1.8542811460566673,-0.5219902912621359,0.793939393939394,0.007825936722120723,6,51.305651340256496,,71.89,-20.584348659743505,False,71.89,68.02,64.48
COMBINATION,CONSENSUS_2_OF_3,10,A_50D_SUPPORT_BULL_ENGULF + B_50D_SUPPORT_HIGHER_LOW + C_BREAKDOWN_50D_SUPPORT,3,759,0.6060606060606061,0.012016427562907944,0.0036720190565124877,1.8542811460566673,-0.5219902912621359,0.793939393939394,0.007825936722120723,6,51.305651340256496,,71.89,-20.584348659743505,False,71.89,68.02,64.48
ORDERED_SEQUENCE,C_TO_B_TO_A,10,C Breakdown+50D Support -> B Higher Low -> A Bull Engulf,3,301,0.5813953488372093,0.007937547184918074,0.0028571428571428914,1.5356692715007885,-0.22504892367906082,0.7375886524822697,0.003604423730083464,11,16.917466578748805,20.0,71.89,-54.9725334212512,False,71.89,68.02,64.48
ORDERED_SEQUENCE,C_TO_B_TO_A,20,C Breakdown+50D Support -> B Higher Low -> A Bull Engulf,3,248,0.5524193548387096,0.00940740414303245,0.004056368306946667,1.3871695272905362,-0.6015325670498084,1.021276595744681,0.0027197971961380736,7,12.88233115000725,20.0,71.89,-59.007668849992754,False,71.89,68.02,64.48
ORDERED_SEQUENCE,C_TO_B_TO_A,10,C Breakdown+50D Support -> B Higher Low -> A Bull Engulf,3,174,0.5919540229885057,0.008527134833304837,0.00445049510830875,1.63632903679389,-0.1549421193232413,0.33124477861319956,0.006661714927062669,7,10.86698280327157,10.0,71.89,-61.02301719672843,False,71.89,68.02,64.48
ORDERED_SEQUENCE,C_TO_B_TO_A,20,C Breakdown+50D Support -> B Higher Low -> A Bull Engulf,3,154,0.5714285714285714,0.00570119195074386,0.005170578009561,1.2301716496425366,-0.6015325670498084,0.3460019743336622,0.0034770038305940673,6,7.661417811179514,10.0,71.89,-64.22858218882048,False,71.89,68.02,64.48
